,date,open,high,low,close,volume
0,2021-06-17 15:00:00+05:30,473.7,482.4,466.6,477.6,10100
1,2021-06-17 15:01:00+05:30,476.4,488.0,476.4,484.2,8150
2,2021-06-17 15:02:00+05:30,481.7,484.5,477.1,479.65,6750
3,2021-06-17 15:03:00+05:30,479.65,479.65,462.3,464.35,6500
4,2021-06-17 15:04:00+05:30,464.95,467.9,463.0,465.65,3450
5,2021-06-17 15:05:00+05:30,465.65,471.55,460.0,460.0,3225
6,2021-06-17 15:06:00+05:30,461.4,461.4,450.0,452.9,11025
7,2021-06-17 15:07:00+05:30,452.9,469.0,452.4,465.8,5175
8,2021-06-17 15:08:00+05:30,465.05,468.25,460.25,462.8,4600
9,2021-06-17 15:09:00+05:30,461.4,473.75,461.4,470.65,7425
10,2021-06-17 15:10:00+05:30,470.65,485.7,470.65,481.05,8275
11,2021-06-17 15:11:00+05:30,481.0,481.0,475.65,477.05,4050
12,2021-06-17 15:12:00+05:30,477.05,482.0,476.8,480.95,5775
13,2021-06-17 15:13:00+05:30,481.0,485.25,477.1,485.0,10350
14,2021-06-17 15:14:00+05:30,483.4,493.75,483.4,490.6,12950
15,2021-06-17 15:15:00+05:30,493.85,497.6,490.6,492.35,12000
16,2021-06-17 15:16:00+05:30,492.35,493.85,490.5,492.15,5825
17,2021-06-17 15:17:00+05:30,492.15,495.1,481.0,481.9,8475
18,2021-06-17 15:18:00+05:30,481.6,483.5,471.0,471.0,5425
19,2021-06-17 15:19:00+05:30,471.0,471.95,461.2,462.0,9375
20,2021-06-17 15:20:00+05:30,464.1,464.55,455.1,455.1,7475
21,2021-06-17 15:21:00+05:30,456.0,456.15,446.45,449.4,9725
22,2021:06:18 11:13:38 IST +0530,260.3,270.0,258.1,266.15,5850
23,2021:06:18 11:15:47 IST +0530,265.5,269.0,257.0,262.15,6150
24,2021:06:18 11:17:57 IST +0530,263.0,265.7,252.5,263.35,6300
25,2021:06:18 11:20:07 IST +0530,264.6,265.0,251.55,253.35,6500
26,2021:06:18 11:22:16 IST +0530,254.8,256.45,233.3,242.4,6550
27,2021:06:18 11:24:26 IST +0530,243.1,261.35,241.4,252.8,8500
28,2021:06:18 11:26:37 IST +0530,251.9,259.0,245.15,249.8,7675
29,2021:06:18 11:29:00 IST +0530,250.6,253.0,245.0,245.0,9700
30,2021:06:18 11:31:18 IST +0530,245.0,255.8,228.95,236.5,6825
31,2021:06:18 11:33:27 IST +0530,236.4,241.6,223.75,228.55,6775
32,2021:06:18 11:35:40 IST +0530,230.5,234.65,227.0,227.25,9300
33,2021:06:18 11:37:48 IST +0530,227.0,234.45,221.25,231.0,8050
34,2021:06:18 11:40:06 IST +0530,232.0,233.6,224.0,227.2,7400
35,2021:06:18 11:42:20 IST +0530,227.2,233.45,225.55,229.7,6950
36,2021:06:18 11:44:43 IST +0530,230.1,236.2,227.25,227.25,6875
37,2021:06:18 11:47:08 IST +0530,230.35,231.35,222.3,230.25,7775
38,2021:06:18 11:49:30 IST +0530,230.25,232.35,223.75,230.1,8425
39,2021:06:18 11:51:49 IST +0530,230.15,237.35,229.0,231.25,8425
40,2021:06:18 11:54:05 IST +0530,231.25,235.8,228.0,235.25,6825
41,2021:06:18 11:56:23 IST +0530,235.0,235.15,230.45,234.85,6025
42,2021:06:18 11:58:38 IST +0530,234.5,238.3,230.3,238.05,7000
43,2021:06:18 12:00:46 IST +0530,237.9,246.65,237.1,245.7,6300
44,2021:06:18 12:02:56 IST +0530,245.7,256.9,243.4,249.35,7225
45,2021:06:18 12:05:16 IST +0530,249.35,252.7,244.3,246.0,8775
46,2021:06:18 12:07:32 IST +0530,246.0,251.95,240.5,244.6,6600
47,2021:06:18 12:09:47 IST +0530,244.2,245.5,232.0,234.55,6250
48,2021:06:18 12:11:59 IST +0530,234.55,234.55,224.55,227.3,8200
49,2021:06:18 12:14:10 IST +0530,227.3,233.1,225.25,230.0,6750
50,2021:06:18 12:16:26 IST +0530,230.0,239.95,228.5,239.95,7375
51,2021:06:18 12:18:40 IST +0530,239.95,241.15,236.25,237.0,7775
52,2021:06:18 12:21:04 IST +0530,236.55,238.95,234.0,236.05,8200
53,2021:06:18 12:23:29 IST +0530,236.05,241.7,234.5,241.0,6725
54,2021:06:18 12:25:45 IST +0530,240.0,250.0,238.15,241.7,8725
55,2021:06:18 12:28:00 IST +0530,240.45,248.0,233.25,243.2,7400
56,2021:06:18 12:30:19 IST +0530,242.25,246.45,239.45,240.8,6775
57,2021:06:18 12:32:30 IST +0530,240.5,252.05,234.5,250.4,7325
58,2021:06:18 12:34:41 IST +0530,249.2,253.0,244.95,251.15,6225
59,2021:06:18 12:36:53 IST +0530,251.15,263.9,249.15,255.0,7075
