,date,open,high,low,close,volume
0,2021-06-17 15:00:00+05:30,377.05,377.95,361.45,364.95,8000
1,2021-06-17 15:01:00+05:30,364.0,364.9,353.5,355.75,4000
2,2021-06-17 15:02:00+05:30,359.95,361.85,354.45,360.6,4475
3,2021-06-17 15:03:00+05:30,360.85,368.35,360.1,368.3,4650
4,2021-06-17 15:04:00+05:30,368.15,371.4,364.2,371.4,8950
5,2021-06-17 15:05:00+05:30,371.4,378.0,365.4,378.0,6550
6,2021-06-17 15:06:00+05:30,378.0,387.6,377.0,383.75,7525
7,2021-06-17 15:07:00+05:30,383.75,383.75,368.15,370.15,6975
8,2021-06-17 15:08:00+05:30,369.25,377.25,367.3,375.45,5675
9,2021-06-17 15:09:00+05:30,376.25,376.4,360.0,367.55,12725
10,2021-06-17 15:10:00+05:30,367.3,367.55,352.05,355.25,13050
11,2021-06-17 15:11:00+05:30,356.4,360.0,356.25,358.25,4100
12,2021-06-17 15:12:00+05:30,357.8,359.7,355.0,355.1,6250
13,2021-06-17 15:13:00+05:30,355.8,357.8,348.2,350.5,6550
14,2021-06-17 15:14:00+05:30,349.65,350.5,332.9,337.25,10150
15,2021-06-17 15:15:00+05:30,335.45,337.25,330.25,334.85,6575
16,2021-06-17 15:16:00+05:30,334.95,337.65,333.1,337.65,12325
17,2021-06-17 15:17:00+05:30,337.9,347.05,336.05,346.45,10975
18,2021-06-17 15:18:00+05:30,347.65,358.45,346.3,357.5,11700
19,2021-06-17 15:19:00+05:30,358.25,368.0,356.6,364.9,12250
20,2021-06-17 15:20:00+05:30,366.85,370.35,363.4,370.0,15175
21,2021-06-17 15:21:00+05:30,372.35,382.7,369.4,382.4,18775
22,2021:06:18 11:13:39 IST +0530,729.0,740.0,692.15,710.0,6775
23,2021:06:18 11:15:50 IST +0530,711.35,715.0,685.0,685.0,6750
24,2021:06:18 11:18:03 IST +0530,685.35,723.6,673.55,676.05,5975
25,2021:06:18 11:20:29 IST +0530,681.35,696.85,674.1,690.1,9275
26,2021:06:18 11:22:48 IST +0530,696.0,724.65,669.0,680.0,7850
27,2021:06:18 11:25:00 IST +0530,680.0,680.0,646.8,662.45,10400
28,2021:06:18 11:27:22 IST +0530,662.45,683.4,655.75,664.5,7850
29,2021:06:18 11:29:44 IST +0530,664.5,682.6,642.0,658.6,9375
30,2021:06:18 11:31:58 IST +0530,658.6,713.15,648.0,700.0,8600
31,2021:06:18 11:34:16 IST +0530,700.0,730.25,700.0,706.9,10375
32,2021:06:18 11:36:39 IST +0530,703.5,740.65,703.5,719.0,9400
33,2021:06:18 11:38:59 IST +0530,719.0,724.6,696.7,720.9,7725
34,2021:06:18 11:41:19 IST +0530,720.9,744.15,710.0,711.4,9800
35,2021:06:18 11:43:36 IST +0530,711.4,723.5,698.55,698.55,11525
36,2021:06:18 11:46:02 IST +0530,698.55,720.0,695.2,705.0,11100
37,2021:06:18 11:48:28 IST +0530,705.0,720.0,703.0,706.9,6825
38,2021:06:18 11:50:49 IST +0530,706.9,707.45,667.6,678.0,11450
39,2021:06:18 11:53:16 IST +0530,678.0,694.8,678.0,681.35,8775
40,2021:06:18 11:55:39 IST +0530,681.35,686.15,669.2,673.8,7825
41,2021:06:18 11:58:00 IST +0530,673.8,678.3,665.4,674.7,9725
42,2021:06:18 12:00:27 IST +0530,674.7,674.7,641.7,652.9,8675
43,2021:06:18 12:02:44 IST +0530,652.9,652.9,606.25,611.45,8550
