2021:06:16 09:16:39 IST +0530,597.4,597.4,493.9,529.6,"{12741122: 525, 12741378: 0, 14170114: 4400, 14170370: 4325, 12769538: 0, 12769794: 3900, 12770050: 3950, 12770306: 3875}"
2021:06:16 09:18:34 IST +0530,529.6,532.8,515.8,524.35,"{12741122: 725, 12741378: 425, 14170114: 325, 14170370: 400, 12769538: 0, 12769794: 125, 12770050: 4525, 12770306: 5200}"
2021:06:16 09:20:21 IST +0530,524.35,544.15,521.25,539.4,"{12741122: 975, 12741378: 350, 14170114: 825, 14170370: 625, 12769538: 0, 12769794: 4125, 12770050: 4350, 12770306: 0}"
2021:06:16 09:22:13 IST +0530,543.4,550.0,527.9,544.5,"{12741122: 400, 12741378: 75, 14170114: 1050, 14170370: 1250, 12769538: 0, 12769794: 4675, 12770050: 275, 12770306: 50}"
2021:06:16 09:24:05 IST +0530,544.5,598.0,542.05,587.65,"{12741122: 5000, 12741378: 4425, 14170114: 2025, 14170370: 1900, 12769538: 0, 12769794: 650, 12770050: 700, 12770306: 100}"
2021:06:16 09:25:46 IST +0530,587.65,639.25,585.05,632.2,"{12741122: 2825, 12741378: 4025, 14170114: 1850, 14170370: 1900, 12769538: 0, 12769794: 75, 12770050: 875, 12770306: 400}"
2021:06:16 09:27:24 IST +0530,630.1,630.1,611.4,615.0,"{12741122: 4825, 12741378: 5075, 14170114: 1750, 14170370: 1950, 12769538: 0, 12769794: 4600, 12770050: 800, 12770306: 625}"
2021:06:16 09:29:23 IST +0530,615.0,642.8,615.0,642.4,"{12741122: 3425, 12741378: 3600, 14170114: 2275, 14170370: 3250, 12769538: 0, 12769794: 100, 12770050: 1350, 12770306: 850}"
2021:06:16 09:31:13 IST +0530,644.95,670.55,640.05,656.5,"{12741122: 2625, 12741378: 3400, 14170114: 3225, 14170370: 3750, 12769538: 0, 12769794: 25, 12770050: 1525, 12770306: 775}"
2021:06:16 09:33:07 IST +0530,657.45,661.7,650.0,656.3,"{12741122: 2625, 12741378: 4600, 14170114: 3775, 14170370: 3850, 12769538: 0, 12769794: 150, 12770050: 1350, 12770306: 2050}"
2021:06:16 09:35:09 IST +0530,656.3,678.95,654.85,675.0,"{12741122: 3175, 12741378: 4275, 14170114: 4175, 14170370: 4925, 12769538: 0, 12769794: 75, 12770050: 2200, 12770306: 1500}"
2021:06:16 09:37:12 IST +0530,675.0,679.0,657.55,665.0,"{12741122: 2600, 12741378: 2625, 14170114: 4025, 14170370: 600, 12769538: 0, 12769794: 4850, 12770050: 3825, 12770306: 1675}"
2021:06:16 09:39:21 IST +0530,665.0,671.2,653.35,653.35,"{12741122: 2475, 12741378: 2450, 14170114: 75, 14170370: 1550, 12769538: 0, 12769794: 5925, 12770050: 1850, 12770306: 2050}"
