2021:06:16 09:16:54 IST +0530,410.35,486.25,410.35,475.0,"{12741122: 575, 12741378: 600, 14170114: 375, 14170370: 250, 12769538: 600, 12769794: 200, 12770050: 75, 12770306: 0}"
2021:06:16 09:18:37 IST +0530,475.0,479.6,462.15,469.65,"{12741122: 750, 12741378: 675, 14170114: 500, 14170370: 500, 12769538: 150, 12769794: 275, 12770050: 0, 12770306: 0}"
2021:06:16 09:20:21 IST +0530,469.65,475.0,450.1,453.9,"{12741122: 975, 12741378: 350, 14170114: 825, 14170370: 625, 12769538: 0, 12769794: 4125, 12770050: 4350, 12770306: 0}"
2021:06:16 09:22:12 IST +0530,455.0,465.0,447.55,450.0,"{12741122: 350, 12741378: 25, 14170114: 1000, 14170370: 1200, 12769538: 4850, 12769794: 4625, 12770050: 225, 12770306: 0}"
2021:06:16 09:24:04 IST +0530,450.0,450.0,403.15,415.45,"{12741122: 4950, 12741378: 4400, 14170114: 1950, 14170370: 1850, 12769538: 4400, 12769794: 600, 12770050: 550, 12770306: 0}"
2021:06:16 09:25:43 IST +0530,417.05,418.05,383.1,388.8,"{12741122: 2725, 12741378: 3950, 14170114: 1750, 14170370: 1800, 12769538: 4725, 12769794: 0, 12770050: 725, 12770306: 0}"
2021:06:16 09:27:20 IST +0530,391.4,403.9,391.4,401.75,"{12741122: 4700, 12741378: 4900, 14170114: 1625, 14170370: 1775, 12769538: 5750, 12769794: 4425, 12770050: 475, 12770306: 0}"
2021:06:16 09:29:10 IST +0530,400.0,407.45,395.0,395.0,"{12741122: 2975, 12741378: 3150, 14170114: 1725, 14170370: 2550, 12769538: 4375, 12769794: 7025, 12770050: 550, 12770306: 0}"
2021:06:16 09:30:55 IST +0530,398.0,398.0,370.0,372.8,"{12741122: 2000, 12741378: 2700, 14170114: 2250, 14170370: 2825, 12769538: 4075, 12769794: 5100, 12770050: 325, 12770306: 0}"
2021:06:16 09:32:34 IST +0530,372.8,381.3,366.6,379.35,"{12741122: 1550, 12741378: 3225, 14170114: 1450, 14170370: 2375, 12769538: 2975, 12769794: 5750, 12770050: 0, 12770306: 0}"
